submission_day,feed_type,submission_count,normalized_submission_count
2022-08-15,PRODUCT_FLAT_FILE_INVLOADER,27,27
2022-08-15,PRODUCT_LIST,28,28
2022-08-15,PRODUCT_LIST_IMAGE,27,27
2022-08-15,PRODUCT_LIST_INVENTORY,27,27
2022-08-15,PRODUCT_LIST_PRICE,27,27
2022-08-15,PRODUCT_LIST_REMOVE,5,5
2022-08-16,PRODUCT_FLAT_FILE_INVLOADER,8,8
2022-08-16,PRODUCT_LIST,7,7
2022-08-16,PRODUCT_LIST_IMAGE,8,8
2022-08-16,PRODUCT_LIST_INVENTORY,8,8
2022-08-16,PRODUCT_LIST_PRICE,8,8
2022-08-16,PRODUCT_LIST_REMOVE,4,4
2022-08-17,PRODUCT_FLAT_FILE_INVLOADER,10,10
2022-08-17,PRODUCT_LIST,10,10
2022-08-17,PRODUCT_LIST_IMAGE,10,10
2022-08-17,PRODUCT_LIST_INVENTORY,10,10
2022-08-17,PRODUCT_LIST_PRICE,10,10
2022-08-17,PRODUCT_LIST_REMOVE,3,3
2022-08-18,PRODUCT_FLAT_FILE_INVLOADER,4,4
2022-08-18,PRODUCT_LIST,4,4
2022-08-18,PRODUCT_LIST_IMAGE,4,4
2022-08-18,PRODUCT_LIST_INVENTORY,4,4
2022-08-18,PRODUCT_LIST_PRICE,4,4
2022-08-18,PRODUCT_LIST_REMOVE,4,4
2022-08-19,PRODUCT_FLAT_FILE_INVLOADER,5,5
2022-08-19,PRODUCT_LIST,5,5
2022-08-19,PRODUCT_LIST_IMAGE,5,5
2022-08-19,PRODUCT_LIST_INVENTORY,5,5
2022-08-19,PRODUCT_LIST_PRICE,5,5
2022-08-19,PRODUCT_LIST_REMOVE,2,2
2022-08-20,PRODUCT_FLAT_FILE_INVLOADER,7,7
2022-08-20,PRODUCT_LIST,7,7
2022-08-20,PRODUCT_LIST_IMAGE,7,7
2022-08-20,PRODUCT_LIST_INVENTORY,7,7
2022-08-20,PRODUCT_LIST_PRICE,7,7
2022-08-21,PRODUCT_FLAT_FILE_INVLOADER,7,7
2022-08-21,PRODUCT_LIST,7,7
2022-08-21,PRODUCT_LIST_IMAGE,7,7
2022-08-21,PRODUCT_LIST_INVENTORY,7,7
2022-08-21,PRODUCT_LIST_PRICE,7,7
2022-08-22,PRODUCT_FLAT_FILE_INVLOADER,6,6
2022-08-22,PRODUCT_LIST,6,6
2022-08-22,PRODUCT_LIST_IMAGE,6,6
2022-08-22,PRODUCT_LIST_INVENTORY,6,6
2022-08-22,PRODUCT_LIST_PRICE,6,6
2022-08-22,PRODUCT_LIST_REMOVE,8,8
2022-08-23,PRODUCT_FLAT_FILE_INVLOADER,8,8
2022-08-23,PRODUCT_LIST,8,8
2022-08-23,PRODUCT_LIST_IMAGE,8,8
2022-08-23,PRODUCT_LIST_INVENTORY,8,8
2022-08-23,PRODUCT_LIST_PRICE,8,8
2022-08-23,PRODUCT_LIST_REMOVE,3,3
2022-08-24,PRODUCT_FLAT_FILE_INVLOADER,8,8
2022-08-24,PRODUCT_LIST,8,8
2022-08-24,PRODUCT_LIST_IMAGE,8,8
2022-08-24,PRODUCT_LIST_INVENTORY,8,8
2022-08-24,PRODUCT_LIST_PRICE,8,8
2022-08-24,PRODUCT_LIST_REMOVE,3,3
2022-08-25,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-08-25,PRODUCT_LIST,9,9
2022-08-25,PRODUCT_LIST_IMAGE,9,9
2022-08-25,PRODUCT_LIST_INVENTORY,9,9
2022-08-25,PRODUCT_LIST_PRICE,9,9
2022-08-25,PRODUCT_LIST_REMOVE,3,3
2022-08-26,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-08-26,PRODUCT_LIST,10,10
2022-08-26,PRODUCT_LIST_IMAGE,9,9
2022-08-26,PRODUCT_LIST_INVENTORY,9,9
2022-08-26,PRODUCT_LIST_PRICE,9,9
2022-08-26,PRODUCT_LIST_REMOVE,1,1
2022-08-27,PRODUCT_FLAT_FILE_INVLOADER,18,18
2022-08-27,PRODUCT_LIST,18,18
2022-08-27,PRODUCT_LIST_IMAGE,18,18
2022-08-27,PRODUCT_LIST_INVENTORY,18,18
2022-08-27,PRODUCT_LIST_PRICE,18,18
2022-08-28,PRODUCT_FLAT_FILE_INVLOADER,2,2
2022-08-28,PRODUCT_LIST,2,2
2022-08-28,PRODUCT_LIST_IMAGE,2,2
2022-08-28,PRODUCT_LIST_INVENTORY,2,2
2022-08-28,PRODUCT_LIST_PRICE,2,2
2022-08-29,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-08-29,PRODUCT_LIST,9,9
2022-08-29,PRODUCT_LIST_IMAGE,9,9
2022-08-29,PRODUCT_LIST_INVENTORY,9,9
2022-08-29,PRODUCT_LIST_PRICE,9,9
2022-08-29,PRODUCT_LIST_REMOVE,1,1
2022-08-30,PRODUCT_FLAT_FILE_INVLOADER,6,6
2022-08-30,PRODUCT_LIST,6,6
2022-08-30,PRODUCT_LIST_IMAGE,6,6
2022-08-30,PRODUCT_LIST_INVENTORY,6,6
2022-08-30,PRODUCT_LIST_PRICE,6,6
2022-08-30,PRODUCT_LIST_REMOVE,1,1
2022-08-31,PRODUCT_FLAT_FILE_INVLOADER,9,9
2022-08-31,PRODUCT_LIST,9,9
2022-08-31,PRODUCT_LIST_IMAGE,9,9
2022-08-31,PRODUCT_LIST_INVENTORY,9,9
2022-08-31,PRODUCT_LIST_PRICE,9,9
2022-08-31,PRODUCT_LIST_REMOVE,1,1
2022-09-01,PRODUCT_FLAT_FILE_INVLOADER,4,4
2022-09-01,PRODUCT_LIST,12,12
2022-09-01,PRODUCT_LIST_IMAGE,4,4
2022-09-01,PRODUCT_LIST_INVENTORY,4,4
2022-09-01,PRODUCT_LIST_PRICE,4,4
2022-09-01,PRODUCT_LIST_REMOVE,2,2
2022-09-02,PRODUCT_LIST,30,30
2022-09-02,PRODUCT_LIST_REMOVE,4,4
2022-09-03,PRODUCT_LIST,5,5
2022-09-04,PRODUCT_LIST,5,5
2022-09-04,PRODUCT_LIST_REMOVE,2,2
2022-09-05,PRODUCT_LIST,8,8
2022-09-06,PRODUCT_LIST,8,8
2022-09-06,PRODUCT_LIST_REMOVE,4,4
2022-09-07,PRODUCT_LIST,8,8
2022-09-08,PRODUCT_LIST,4,4
2022-09-08,PRODUCT_LIST_REMOVE,1,1
2022-09-09,PRODUCT_LIST,33,33
2022-09-09,PRODUCT_LIST_REMOVE,2,2
2022-09-10,PRODUCT_LIST,15,15
2022-09-11,PRODUCT_LIST,13,13
2022-09-12,PRODUCT_LIST,1,1
2022-09-12,PRODUCT_LIST_REMOVE,3,3
2022-09-13,PRODUCT_LIST,12,12
2022-09-13,PRODUCT_LIST_REMOVE,6,6
2022-09-14,PRODUCT_LIST,10,10
2022-09-15,PRODUCT_LIST,11,11
2022-09-16,PRODUCT_LIST,5,5
2022-09-16,PRODUCT_LIST_REMOVE,2,2
2022-09-17,PRODUCT_LIST,11,11
2022-09-18,PRODUCT_LIST,9,9
2022-09-19,PRODUCT_LIST,4,4
2022-09-20,PRODUCT_LIST,9,9
2022-09-20,PRODUCT_LIST_REMOVE,9,9
2022-09-21,PRODUCT_FLAT_FILE_INVLOADER,3,3
2022-09-21,PRODUCT_LIST,4,4
2022-09-21,PRODUCT_LIST_IMAGE,3,3
2022-09-21,PRODUCT_LIST_INVENTORY,3,3
2022-09-21,PRODUCT_LIST_PRICE,3,3
2022-09-22,PRODUCT_FLAT_FILE_INVLOADER,6,6
2022-09-22,PRODUCT_LIST,6,6
2022-09-22,PRODUCT_LIST_IMAGE,6,6
2022-09-22,PRODUCT_LIST_INVENTORY,6,6
2022-09-22,PRODUCT_LIST_PRICE,6,6
2022-09-23,PRODUCT_FLAT_FILE_INVLOADER,5,5
2022-09-23,PRODUCT_LIST,7,7
2022-09-23,PRODUCT_LIST_IMAGE,5,5
2022-09-23,PRODUCT_LIST_INVENTORY,5,5
2022-09-23,PRODUCT_LIST_PRICE,5,5
2022-09-24,PRODUCT_LIST,4,4
2022-09-25,PRODUCT_LIST,8,8
2022-09-26,PRODUCT_FLAT_FILE_INVLOADER,19,19
2022-09-26,PRODUCT_LIST,24,24
2022-09-26,PRODUCT_LIST_IMAGE,19,19
2022-09-26,PRODUCT_LIST_INVENTORY,19,19
2022-09-26,PRODUCT_LIST_PRICE,19,19
2022-09-27,PRODUCT_FLAT_FILE_INVLOADER,137,9
2022-09-27,PRODUCT_LIST,139,11
2022-09-27,PRODUCT_LIST_IMAGE,137,9
2022-09-27,PRODUCT_LIST_INVENTORY,137,9
2022-09-27,PRODUCT_LIST_PRICE,137,9
2022-09-27,PRODUCT_LIST_REMOVE,6,6
2022-09-28,PRODUCT_FLAT_FILE_INVLOADER,149,9
2022-09-28,PRODUCT_LIST,190,11
2022-09-28,PRODUCT_LIST_IMAGE,149,9
2022-09-28,PRODUCT_LIST_INVENTORY,149,9
2022-09-28,PRODUCT_LIST_PRICE,149,9
2022-09-28,PRODUCT_LIST_REMOVE,13,13
